frequency_hz,amplitude_db,artist,title
8484.08203125,-46.79769,BhikariBal,Khyama
8505.615234375,-47.20913,BhikariBal,Khyama
8527.1484375,-47.404125,BhikariBal,Khyama
8548.681640625,-47.099358,BhikariBal,Khyama
8570.21484375,-46.955166,BhikariBal,Khyama
8591.748046875,-47.337334,BhikariBal,Khyama
8613.28125,-47.490585,BhikariBal,Khyama
8634.814453125,-46.776703,BhikariBal,Khyama
8656.34765625,-47.184734,BhikariBal,Khyama
8677.880859375,-47.112495,BhikariBal,Khyama
8699.4140625,-46.66368,BhikariBal,Khyama
8720.947265625,-46.75915,BhikariBal,Khyama
8742.48046875,-46.761597,BhikariBal,Khyama
8764.013671875,-46.60411,BhikariBal,Khyama
8785.546875,-46.77366,BhikariBal,Khyama
8807.080078125,-46.185036,BhikariBal,Khyama
8828.61328125,-46.24618,BhikariBal,Khyama
8850.146484375,-46.291954,BhikariBal,Khyama
8871.6796875,-46.15628,BhikariBal,Khyama
8893.212890625,-46.105717,BhikariBal,Khyama
8914.74609375,-45.812725,BhikariBal,Khyama
8936.279296875,-45.286205,BhikariBal,Khyama
8957.8125,-45.622658,BhikariBal,Khyama
8979.345703125,-45.64519,BhikariBal,Khyama
9000.87890625,-45.600132,BhikariBal,Khyama
9022.412109375,-45.55458,BhikariBal,Khyama
9043.9453125,-45.265015,BhikariBal,Khyama
9065.478515625,-45.065487,BhikariBal,Khyama
9087.01171875,-44.98443,BhikariBal,Khyama
9108.544921875,-44.827698,BhikariBal,Khyama
9130.078125,-44.945328,BhikariBal,Khyama
9151.611328125,-44.720848,BhikariBal,Khyama
9173.14453125,-44.74225,BhikariBal,Khyama
9194.677734375,-44.759792,BhikariBal,Khyama
9216.2109375,-44.603607,BhikariBal,Khyama
9237.744140625,-44.354305,BhikariBal,Khyama
9259.27734375,-44.071205,BhikariBal,Khyama
9280.810546875,-43.38845,BhikariBal,Khyama
9302.34375,-43.5855,BhikariBal,Khyama
9323.876953125,-43.61088,BhikariBal,Khyama
9345.41015625,-43.262337,BhikariBal,Khyama
9366.943359375,-43.061535,BhikariBal,Khyama
9388.4765625,-42.817863,BhikariBal,Khyama
9410.009765625,-42.586864,BhikariBal,Khyama
9431.54296875,-42.728283,BhikariBal,Khyama
9453.076171875,-42.600067,BhikariBal,Khyama
9474.609375,-42.704582,BhikariBal,Khyama
9496.142578125,-42.561646,BhikariBal,Khyama
9517.67578125,-42.380524,BhikariBal,Khyama
9539.208984375,-42.45426,BhikariBal,Khyama
9560.7421875,-42.334137,BhikariBal,Khyama
9582.275390625,-41.96988,BhikariBal,Khyama
9603.80859375,-41.6256,BhikariBal,Khyama
9625.341796875,-40.91554,BhikariBal,Khyama
9646.875,-40.573044,BhikariBal,Khyama
9668.408203125,-40.613976,BhikariBal,Khyama
9689.94140625,-40.477203,BhikariBal,Khyama
9711.474609375,-40.592373,BhikariBal,Khyama
9733.0078125,-40.74527,BhikariBal,Khyama
9754.541015625,-40.668274,BhikariBal,Khyama
9776.07421875,-40.69508,BhikariBal,Khyama
9797.607421875,-40.61046,BhikariBal,Khyama
9819.140625,-40.641266,BhikariBal,Khyama
9840.673828125,-40.476078,BhikariBal,Khyama
9862.20703125,-40.154503,BhikariBal,Khyama
9883.740234375,-40.22277,BhikariBal,Khyama
9905.2734375,-40.619293,BhikariBal,Khyama
9926.806640625,-40.60891,BhikariBal,Khyama
9948.33984375,-40.668964,BhikariBal,Khyama
9969.873046875,-40.54715,BhikariBal,Khyama
9991.40625,-40.432705,BhikariBal,Khyama
10012.939453125,-40.421295,BhikariBal,Khyama
10034.47265625,-40.36139,BhikariBal,Khyama
10056.005859375,-40.566444,BhikariBal,Khyama
10077.5390625,-40.93905,BhikariBal,Khyama
10099.072265625,-40.807697,BhikariBal,Khyama
10120.60546875,-40.977043,BhikariBal,Khyama
10142.138671875,-41.373596,BhikariBal,Khyama
10163.671875,-41.63563,BhikariBal,Khyama
10185.205078125,-41.922348,BhikariBal,Khyama
10206.73828125,-41.793205,BhikariBal,Khyama
10228.271484375,-41.411976,BhikariBal,Khyama
10249.8046875,-42.208336,BhikariBal,Khyama
10271.337890625,-42.374485,BhikariBal,Khyama
10292.87109375,-42.352844,BhikariBal,Khyama
10314.404296875,-42.22586,BhikariBal,Khyama
10335.9375,-41.954098,BhikariBal,Khyama
10357.470703125,-42.30249,BhikariBal,Khyama
10379.00390625,-42.57193,BhikariBal,Khyama
10400.537109375,-41.053978,BhikariBal,Khyama
10422.0703125,-41.663803,BhikariBal,Khyama
10443.603515625,-42.463432,BhikariBal,Khyama
10465.13671875,-42.41102,BhikariBal,Khyama
10486.669921875,-42.40327,BhikariBal,Khyama
10508.203125,-42.748344,BhikariBal,Khyama
10529.736328125,-42.79783,BhikariBal,Khyama
10551.26953125,-42.366,BhikariBal,Khyama
10572.802734375,-40.766953,BhikariBal,Khyama
10594.3359375,-41.17502,BhikariBal,Khyama
10615.869140625,-42.399986,BhikariBal,Khyama
10637.40234375,-42.8324,BhikariBal,Khyama
10658.935546875,-42.892338,BhikariBal,Khyama
10680.46875,-42.974514,BhikariBal,Khyama
10702.001953125,-42.996346,BhikariBal,Khyama
10723.53515625,-42.82148,BhikariBal,Khyama
10745.068359375,-41.630478,BhikariBal,Khyama
10766.6015625,-41.575256,BhikariBal,Khyama
10788.134765625,-42.424454,BhikariBal,Khyama
10809.66796875,-42.350826,BhikariBal,Khyama
10831.201171875,-42.318,BhikariBal,Khyama
10852.734375,-42.535954,BhikariBal,Khyama
10874.267578125,-42.44753,BhikariBal,Khyama
10895.80078125,-42.49417,BhikariBal,Khyama
10917.333984375,-41.877644,BhikariBal,Khyama
10938.8671875,-41.72621,BhikariBal,Khyama
10960.400390625,-42.0623,BhikariBal,Khyama
